Point Number,Northing,Easting,Elevation,Description,Layer,Code
101,1000.000,5000.000,412.35,PROPERTY CORNER,BOUNDARY,PC
102,1024.560,5011.220,411.98,PROPERTY CORNER,BOUNDARY,PC
103,1048.900,5002.410,410.55,CATCH BASIN,STORM,CB
104,1071.230,5030.780,413.02,FIRE HYDRANT,UTILITY,FH
105,1090.100,5055.640,409.87,SANITARY MANHOLE,SANITARY,MH
106,1112.450,5080.330,414.10,LIGHT POLE,ELECTRICAL,LP
107,1135.900,5099.760,408.44,BUILDING CORNER,BUILDING,BC
108,1158.220,5120.910,415.60,BUILDING CORNER,BUILDING,BC
109,1180.770,5140.330,410.90,WATER VALVE,UTILITY,WV
110,1200.500,5165.020,412.75,GAS METER,UTILITY,GM
